Time,FirstHarmonic
0.000000000000000000e+00,1.951425096674189452e-01
4.081632653061224580e-01,1.785180081933302465e-01
8.163265306122449161e-01,1.318005871429297204e-01
1.224489795918367374e+00,6.350811095863630185e-02
1.632653061224489832e+00,1.367695895191307388e-02
2.040816326530612290e+00,8.530195055679964944e-02
2.448979591836734748e+00,1.384052340158197780e-01
2.857142857142857206e+00,1.637672630207599456e-01
3.265306122448979664e+00,1.571124476175536633e-01
3.673469387755102122e+00,1.198054266118911415e-01
4.081632653061224580e+00,5.885882988551335154e-02
4.489795918367347483e+00,1.402749110198663225e-02
4.897959183673469497e+00,8.433363542426762505e-02
5.306122448979591510e+00,1.385388759473617504e-01
5.714285714285714413e+00,1.664976875460410233e-01
6.122448979591837315e+00,1.632680371135130648e-01
6.530612244897959329e+00,1.295298118307082746e-01
6.938775510204081343e+00,7.147569456501851048e-02
7.346938775510204245e+00,1.311457656243772028e-03
7.755102040816327147e+00,7.147345099383078937e-02
8.163265306122449161e+00,1.291182916541833425e-01
8.571428571428571175e+00,1.623171366184248676e-01
8.979591836734694965e+00,1.651036654036232287e-01
9.387755102040816979e+00,1.370802926066835847e-01
9.795918367346938993e+00,8.345151354872158700e-02
1.020408163265306101e+01,1.446957184992204125e-02
1.061224489795918302e+01,5.696977572897165415e-02
1.102040816326530681e+01,1.168240275066662615e-01
1.142857142857142883e+01,1.543262314904868260e-01
1.183673469387755084e+01,1.630050182979560780e-01
1.224489795918367463e+01,1.416580763161049972e-01
1.265306122448979664e+01,9.437010873446452508e-02
1.306122448979591866e+01,2.981312566881922504e-02
1.346938775510204067e+01,4.003533756021977058e-02
1.387755102040816269e+01,1.019598751693369526e-01
1.428571428571428648e+01,1.447485387382028421e-01
1.469387755102040849e+01,1.608942845156209889e-01
1.510204081632653050e+01,1.478092341948160082e-01
1.551020408163265429e+01,1.079549395720688781e-01
1.591836734693877631e+01,4.851281408966066910e-02
1.632653061224489832e+01,1.968182000484359692e-02
1.673469387755102034e+01,8.403508501151363275e-02
1.714285714285714235e+01,1.328442009713567684e-01
1.755102040816326436e+01,1.574160409898310298e-01
1.795918367346938993e+01,1.532589583367971464e-01
1.836734693877551194e+01,1.209092039565220350e-01
1.877551020408163396e+01,6.589323879785310978e-02
1.918367346938775597e+01,2.221524632911741574e-03
1.959183673469387799e+01,6.950064814644527078e-02
2.000000000000000000e+01,1.244271719577028507e-01
